8,205,72
8,182,72
5,842,322
8,213,81
7,773,281
8,240,81
6,879,292
6,852,292
8,275,81
8,275,81
8,275,81
6,8,324
5,130,364
8,275,81
8,278,81
8,244,81
8,278,81
7,889,283
8,244,81
8,275,88
7,964,310
4,412,443
5,240,398
3,528,487
3,550,487
2,677,0
3,687,525
8,306,95
3,687,525
6,228,0
1,301,717
4,534,478
1,301,717
5,544,463
4,716,515
7,201,360
4,716,515
7,201,360
4,716,515
6,372,412
5,0,463
6,372,412
5,708,493
7,328,383
4,898,548
5,708,493
6,518,438
3,87,602
6,519,0
4,898,548
5,708,493
4,0,580
8,416,116
6,664,464
3,288,638
8,416,116
7,456,406
4,80,580
6,664,464
4,0,580
7,583,429
6,810,400
7,583,429
8,452,122
7,584,429
8,452,122
8,452,122
6,809,490
4,262,613
8,452,122
7,583,429
5,35,551
5,36,551
7,583,429
7,583,429
8,452,122
7,583,429
7,584,0
6,809,490
5,35,551
5,35,551
6,771,0
6,866,490
5,35,551
7,583,429
8,509,122
6,809,490
6,809,490
8,452,122
6,809,490
8,452,122
7,583,429
8,452,122
5,678,254
6,728,260
6,728,260
8,182,65
8,182,65
4,910,325
7,746,255
6,853,290
8,213,73
7,746,255
5,959,328
6,852,292
7,855,283
8,244,81
8,244,81
8,244,81
8,244,81
8,244,81
8,244,81
8,244,81
8,275,81
8,244,81
8,244,81
7,0,283
8,244,81
8,244,81
8,275,81
7,855,283
8,244,81
8,244,81
8,244,81
6,102,354
6,137,354
7,964,310
8,275,88
6,102,354
8,275,88
8,310,88
6,137,354
8,275,88
5,240,398
7,964,310
8,275,88
8,275,88
7,112,334
7,73,334
5,380,430
8,306,95
8,306,95
6,265,382
5,380,430
8,306,95
8,306,95
7,74,334
7,73,334
8,306,95
7,73,334
8,343,103
8,343,103
7,201,360
8,343,103
6,372,412
7,201,360
8,343,103
8,343,103
6,372,412
7,201,360
8,343,103
6,372,412
8,343,103
8,343,103
6,372,412
8,343,103
7,201,360
8,343,103
8,343,103
6,373,0
8,379,109
8,379,109
8,379,109
8,379,109
8,379,109
8,379,109
8,379,109
8,379,109
8,379,109
8,379,109
6,518,438
8,379,109
8,379,109
8,427,109
8,379,109
8,379,109
6,518,438
8,379,109
8,379,109
8,379,109
8,379,109
7,328,383
7,328,383
7,328,383
8,379,109
8,416,116
8,416,116
8,416,116
5,872,522
7,456,406
8,416,116
7,456,406
8,468,116
8,468,116
8,468,116
8,416,116
6,664,464
7,456,406
7,456,406
5,872,522
8,416,116
5,872,522
8,416,116
8,416,116
8,416,116
8,468,116
8,416,116
8,468,116
7,508,406
4,80,580
8,416,116
7,456,406
6,664,464
7,456,0
8,416,116
7,456,406
6,664,464
8,416,116
5,872,522
8,416,116
7,456,0
8,416,116
7,456,406
7,456,406
7,456,406
8,416,116
8,416,116
3,0,0
4,0,0
4,0,0
4,0,0
3,0,0
8,0,0
4,0,0
7,0,0
3,0,0
6,0,0
4,0,0
5,0,0
2,0,0
4,0,0
6,0,0
3,0,0
4,0,0
4,1378,488
1,2067,731
2,1654,0
5,1380,473
5,1380,473
6,1227,421
4,1534,526
4,1572,526
5,1380,473
3,1687,578
8,343,114
6,1372,454
7,1244,396
1,2617,850
4,1759,567
7,1244,396
7,1328,422
7,1328,422
6,1566,482
7,1376,422
6,1566,482
3,2135,663
4,1898,603
8,432,120
4,2080,638
5,1872,0
6,1664,511
5,1872,575
6,0,511
4,2080,638
2,2496,766
5,1872,575
2,2714,809
4,2262,675
4,2262,675
6,464,249
4,700,358
2,840,429
5,630,322
7,574,255
5,738,328
8,164,81
8,164,81
4,820,402
7,574,281
6,656,322
5,846,401
7,658,312
8,188,90
8,188,90
6,752,357
7,658,312
